						B-Baseline
			Spectral	Data	File	
		1.0				
						
						
						
						
		4096.0				
		1.0				
						
						
						
		0.01				
		-0.4				
						
		40.0				
		30.0				
		39.742022				
		50.0				
		607000.0				
		100.0				
		0.0				
		0.0				
		45.0				
		0.0				
		0.0				
		0.0				
		4.0				
3.37	546.0					461.55089527532743
3.38	424.0					339.5050871869895
3.39	336.0					251.45927909865156
3.4	261.0					176.4134710103136
3.41	180.0					95.36766292197565
3.42	130.0					45.3218548336377
3.43	93.0					8.276046745299737
3.44	64.0					-20.769761343038212
3.45	82.0					-2.8155694313761614
3.46	69.0					-15.861377519714125
3.47	57.0					-27.907185608052075
3.48	55.0					-29.952993696390024
3.49	71.0					-13.998801784727988
3.5	67.0					-18.044609873065937
3.51	81.0					-4.090417961403887
3.52	98.0					12.86377395025815
3.53	93.0					7.8179658619202
3.54	125.0					39.77215777358225
3.55	126.0					40.7263496852443
3.56	164.0					78.68054159690634
3.57	193.0					107.63473350856839
3.58	203.0					117.58892542023044
3.59	265.0					179.5431173318925
3.6	330.0					244.49730924355453
3.61	359.0					273.4515011552166
3.62	455.0					369.4056930668786
3.63	554.0					468.35988497854066
3.64	654.0					568.3140768902027
3.65	775.0					689.2682688018648
3.66	850.0					764.2224607135267
3.67	933.0					847.1766526251888
3.68	1029.0					943.1308445368509
3.69	999.0					913.0850364485129
3.7	1062.0					976.039228360175
3.71	1054.0					967.9934202718371
3.72	928.0					841.9476121834991
3.73	868.0					781.9018040951611
3.74	725.0					638.8559960068231
3.75	596.0					509.8101879184852
3.76	481.0					394.7643798301473
3.77	364.0					277.71857174180934
3.78	251.0					164.67276365347135
3.79	216.0					129.62695556513341
3.8	150.0					63.58114747679545
3.81	104.0					17.5353393884575
3.82	81.0					-5.510468699880448
3.83	57.0					-29.556276788218412
3.84	44.0					-42.60208487655636
3.85	38.0					-48.64789296489431
3.86	33.0					-53.693701053232274
3.87	27.0					-59.739509141570224
3.88	36.0					-50.78531722990817
3.89	35.0					-51.83112531824614
3.9	35.0					-51.87693340658409
3.91	41.0					-45.922741494922036
3.92	60.0					-26.968549583259986
3.93	77.0					-10.01435767159795
3.94	73.0					-14.060165759935899
3.95	86.0					-1.1059738482738481
3.96	91.0					3.8482180633882024
3.97	113.0					25.80240997505024
3.98	159.0					71.75660188671229
3.99	147.0					59.71079379837434
4.0	167.0					79.66498571003638
4.01	186.0					98.61917762169843
4.02	179.0					91.57336953336048
4.03	149.0					61.52756144502251
4.04	136.0					48.481753356684564
4.05	139.0					51.435945268346615
4.06	124.0					36.39013718000865
4.07	149.0					61.3443290916707
4.08	99.0					11.298521003332752
4.09	89.0					1.2527129149947882
4.1	75.0					-12.793095173343147
4.11	72.0					-15.83890326168111
4.12	61.0					-26.88471135001906
4.13	26.0					-61.93051943835701
4.14	36.0					-51.97632752669497
4.15	34.0					-54.02213561503292
4.16	19.0					-69.06794370337087
4.17	24.0					-64.11375179170884
4.18	27.0					-61.159559880046785
4.19	18.0					-70.20536796838473
4.2	16.0					-72.2511760567227
4.21	20.0					-68.29698414506065
4.22	30.0					-58.3427922333986
4.23	38.0					-50.38860032173656
4.24	29.0					-59.43440841007451
4.25	31.0					-57.48021649841246
4.26	31.0					-57.526024586750424
4.27	27.0					-61.57183267508837
4.28	31.0					-57.61764076342632
4.29	32.0					-56.66344885176427
4.3	33.0					-55.70925694010222
4.31	37.0					-51.755065028440185
4.32	27.0					-61.800873116778135
4.33	35.0					-53.846681205116084
4.34	33.0					-55.89248929345405
4.35	43.0					-45.938297381792
4.36	51.0					-37.98410547012995
4.37	63.0					-26.02991355846791
4.38	82.0					-7.07572164680586
4.39	91.0					1.8784702648561904
4.4	115.0					25.832662176518227
4.41	142.0					52.78685408818028
4.42	169.0					79.74104599984233
4.43	223.0					133.69523791150436
4.44	274.0					184.64942982316643
4.45	351.0					261.6036217348285
4.46	362.0					272.5578136464905
4.47	487.0					397.51200555815257
4.48	513.0					423.4661974698146
4.49	530.0					440.42038938147664
4.5	573.0					483.3745812931387
4.51	611.0					521.3287732048008
4.52	568.0					478.2829651164628
4.53	546.0					456.23715702812484
4.54	500.0					410.19134893978685
4.55	461.0					371.1455408514489
4.56	417.0					327.099732763111
4.57	339.0					249.05392467477301
4.58	321.0					231.00811658643505
4.59	249.0					158.96230849809712
4.6	194.0					103.91650040975915
4.61	176.0					85.8706923214212
4.62	145.0					54.82488423308325
4.63	110.0					19.77907614474529
4.64	106.0					15.73326805640734
4.65	88.0					-2.3125400319306095
4.66	89.0					-1.3583481202685732
4.67	76.0					-14.404156208606508
4.68	87.0					-3.449964296944472
4.69	81.0					-9.495772385282422
4.7	68.0					-22.54158047362037
4.71	77.0					-13.587388561958335
4.72	58.0					-32.633196650296284
4.73	72.0					-18.679004738634234
4.74	68.0					-22.724812826972197
4.75	75.0					-15.770620915310147
4.76	61.0					-29.816429003648096
4.77	76.0					-14.86223709198606
